Type                                  Module                      Label             Process   
BXVector<l1t::EGamma>                 "simCaloStage2Digis"        ""                "HLT"     
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma"          "HLT"     
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma2"         "HLT"     
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma3"         "HLT"     
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma4"         "HLT"     
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma5"         "HLT"     
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma6"         "HLT"     
BXVector<l1t::EGamma>                 "simCaloStage2Digis"        "MP"              "HLT"     
BXVector<l1t::EtSum>                  "simCaloStage2Digis"        ""                "HLT"     
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum"           "HLT"     
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum2"          "HLT"     
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum3"          "HLT"     
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum4"          "HLT"     
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum5"          "HLT"     
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum6"          "HLT"     
BXVector<l1t::EtSum>                  "simCaloStage2Digis"        "MP"              "HLT"     
BXVector<l1t::Jet>                    "simCaloStage2Digis"        ""                "HLT"     
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet"             "HLT"     
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet2"            "HLT"     
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet3"            "HLT"     
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet4"            "HLT"     
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet5"            "HLT"     
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet6"            "HLT"     
BXVector<l1t::Jet>                    "simCaloStage2Digis"        "MP"              "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         ""                "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon"            "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon2"           "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon3"           "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon4"           "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon5"           "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon6"           "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsBMTF"    "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFNeg"   "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFPos"   "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFNeg"   "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFPos"   "HLT"     
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "BMTF"            "HLT"     
BXVector<l1t::RegionalMuonCand>       "simEmtfDigis"              "EMTF"            "HLT"     
BXVector<l1t::RegionalMuonCand>       "simOmtfDigis"              "OMTF"            "HLT"     
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "UnsortedBMTF"    "HLT"     
BXVector<l1t::Tau>                    "simCaloStage2Digis"        ""                "HLT"     
BXVector<l1t::Tau>                    "simCaloStage2Digis"        "MP"              "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau"             "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau2"            "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau3"            "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau4"            "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau5"            "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau6"            "HLT"     
CrossingFramePlaybackInfoNew          "mix"                       ""                "HLT"     
EBDigiCollection                      "simEcalUnsuppressedDigis"   ""                "HLT"     
EBDigiCollection                      "simEcalUnsuppressedDigis"   "APD"             "HLT"     
EBDigiCollection                      "simEcalDigis"              "ebDigis"         "HLT"     
EEDigiCollection                      "simEcalUnsuppressedDigis"   ""                "HLT"     
EEDigiCollection                      "simEcalDigis"              "eeDigis"         "HLT"     
ESDigiCollection                      "simEcalPreshowerDigis"     ""                "HLT"     
ESDigiCollection                      "simEcalUnsuppressedDigis"   ""                "HLT"     
FEDRawDataCollection                  "rawDataCollector"          ""                "HLT"     
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"     
GlobalObjectMapRecord                 "simGtStage2Digis"          ""                "HLT"     
HcalDataFrameContainer<QIE10DataFrame>    "simHcalDigis"              "HFQIE10DigiCollection"   "HLT"     
HcalDataFrameContainer<QIE10DataFrame>    "simHcalUnsuppressedDigis"   "HFQIE10DigiCollection"   "HLT"     
HcalDataFrameContainer<QIE11DataFrame>    "simHcalDigis"              "HBHEQIE11DigiCollection"   "HLT"     
HcalDataFrameContainer<QIE11DataFrame>    "simHcalUnsuppressedDigis"   "HBHEQIE11DigiCollection"   "HLT"     
L1MuDTChambPhContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"     
L1MuDTChambThContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCALCTPreTriggerDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCLCTPreTriggerDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "HLT"     
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"     
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<GEMDetId,GEMCoPadDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<GEMDetId,GEMDigi>    "simMuonGEMDigis"           ""                "HLT"     
MuonDigiCollection<GEMDetId,GEMPadDigi>    "simMuonGEMPadDigis"        ""                "HLT"     
MuonDigiCollection<GEMDetId,GEMPadDigiCluster>    "simMuonGEMPadDigiClusters"   ""                "HLT"     
MuonDigiCollection<ME0DetId,ME0Digi>    "simMuonME0Digis"           ""                "HLT"     
MuonDigiCollection<ME0DetId,ME0DigiPreReco>    "simMuonME0PseudoDigis"     ""                "HLT"     
MuonDigiCollection<ME0DetId,ME0DigiPreReco>    "simMuonME0PseudoReDigis"   ""                "HLT"     
MuonDigiCollection<ME0DetId,ME0DigiPreReco>    "simMuonME0PseudoReDigisCoarse"   ""                "HLT"     
MuonDigiCollection<ME0DetId,ME0PadDigi>    "simMuonME0PadDigis"        ""                "HLT"     
MuonDigiCollection<ME0DetId,ME0TriggerDigi>    "me0TriggerConvertedPseudoDigis"   ""                "HLT"     
MuonDigiCollection<ME0DetId,ME0TriggerDigi>    "me0TriggerDigis"           ""                "HLT"     
MuonDigiCollection<ME0DetId,int>      "simMuonME0PseudoReDigis"   ""                "HLT"     
MuonDigiCollection<ME0DetId,int>      "simMuonME0PseudoReDigisCoarse"   ""                "HLT"     
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "HLT"     
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"     
TTClusterAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTClusterAssociatorFromPixelDigis"   "ClusterAccepted"   "HLT"     
TTClusterAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTClusterAssociatorFromPixelDigis"   "ClusterInclusive"   "HLT"     
TTStubAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTStubAssociatorFromPixelDigis"   "StubAccepted"    "HLT"     
TTStubAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTStubAssociatorFromPixelDigis"   "StubRejected"    "HLT"     
double                                "ak4GenJets"                "rho"             "HLT"     
double                                "ak4GenJetsNoNu"            "rho"             "HLT"     
double                                "ak8GenJets"                "rho"             "HLT"     
double                                "ak8GenJetsNoNu"            "rho"             "HLT"     
double                                "ak4GenJets"                "sigma"           "HLT"     
double                                "ak4GenJetsNoNu"            "sigma"           "HLT"     
double                                "ak8GenJets"                "sigma"           "HLT"     
double                                "ak8GenJetsNoNu"            "sigma"           "HLT"     
edm::DetSetVector<GEMDigiSimLink>     "simMuonGEMDigis"           "GEM"             "HLT"     
edm::DetSetVector<GEMDigiSimLink>     "simMuonME0Digis"           "ME0"             "HLT"     
edm::DetSetVector<Phase2TrackerDigi>    "mix"                       "Tracker"         "HLT"     
edm::DetSetVector<PixelDigi>          "simSiPixelDigis"           "Pixel"           "HLT"     
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           "Pixel"           "HLT"     
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           "Tracker"         "HLT"     
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "HLT"     
edm::DetSetVector<SiStripDigi>        "simSiStripDigis"           "ZeroSuppressed"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ProcessedRaw"    "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ScopeMode"       "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "StripAPVBaselines"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "StripAmplitudes"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "StripAmplitudesPostAPV"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "VirginRaw"       "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simSiStripDigis"           ""                "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonGEMDigis"           "GEM"             "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonME0Digis"           "ME0"             "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "HLT"     
edm::HepMCProduct                     "generatorSmeared"          ""                "HLT"     
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "HLT"     
edm::RangeMap<ME0DetId,edm::OwnVector<ME0RecHit,edm::ClonePolicy<ME0RecHit> >,edm::ClonePolicy<ME0RecHit> >    "me0RecHits"                ""                "HLT"     
edm::RangeMap<ME0DetId,edm::OwnVector<ME0RecHit,edm::ClonePolicy<ME0RecHit> >,edm::ClonePolicy<ME0RecHit> >    "me0RecHitsCoarse"          ""                "HLT"     
edm::RangeMap<ME0DetId,edm::OwnVector<ME0Segment,edm::ClonePolicy<ME0Segment> >,edm::ClonePolicy<ME0Segment> >    "me0Segments"               ""                "HLT"     
edm::RangeMap<ME0DetId,edm::OwnVector<ME0Segment,edm::ClonePolicy<ME0Segment> >,edm::ClonePolicy<ME0Segment> >    "me0TriggerPseudoDigis"     ""                "HLT"     
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "simEcalDigis"              "ebSrFlags"       "HLT"     
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "simEcalDigis"              "eeSrFlags"       "HLT"     
edm::SortedCollection<EcalEBTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalEBTriggerPrimitiveDigi> >    "simEcalEBTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<EcalTimeDigi,edm::StrictWeakOrdering<EcalTimeDigi> >    "mix"                       "EBTimeDigi"      "HLT"     
edm::SortedCollection<EcalTimeDigi,edm::StrictWeakOrdering<EcalTimeDigi> >    "mix"                       "EETimeDigi"      "HLT"     
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "simEcalTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<FTLDataFrameT<BTLDetId,BTLSample,mtdhelpers::BTLRowColDecode>,edm::StrictWeakOrdering<FTLDataFrameT<BTLDetId,BTLSample,mtdhelpers::BTLRowColDecode> > >    "mix"                       "FTLBarrel"       "HLT"     
edm::SortedCollection<FTLDataFrameT<ETLDetId,ETLSample,mtdhelpers::ETLRowColDecode>,edm::StrictWeakOrdering<FTLDataFrameT<ETLDetId,ETLSample,mtdhelpers::ETLRowColDecode> > >    "mix"                       "FTLEndcap"       "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HGCDataFrame<DetId,HGCSample>,edm::StrictWeakOrdering<HGCDataFrame<DetId,HGCSample> > >    "simHGCalUnsuppressedDigis"   "EE"              "HLT"     
edm::SortedCollection<HGCDataFrame<DetId,HGCSample>,edm::StrictWeakOrdering<HGCDataFrame<DetId,HGCSample> > >    "simHGCalUnsuppressedDigis"   "HEback"          "HLT"     
edm::SortedCollection<HGCDataFrame<DetId,HGCSample>,edm::StrictWeakOrdering<HGCDataFrame<DetId,HGCSample> > >    "simHGCalUnsuppressedDigis"   "HEfront"         "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<HcalTriggerPrimitiveDigi> >    "simHcalTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edmNew::DetSetVector<TTCluster<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "TTStubsFromPhase2TrackerDigis"   "ClusterAccepted"   "HLT"     
edmNew::DetSetVector<TTCluster<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "TTClustersFromPhase2TrackerDigis"   "ClusterInclusive"   "HLT"     
edmNew::DetSetVector<TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "TTStubsFromPhase2TrackerDigis"   "StubAccepted"    "HLT"     
edmNew::DetSetVector<TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "TTStubsFromPhase2TrackerDigis"   "StubRejected"    "HLT"     
float                                 "genParticles"              "t0"              "HLT"     
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"     
reco::BeamSpot                        "hltOnlineBeamSpot"         ""                "HLT"     
vector<CaloParticle>                  "mix"                       "MergedCaloTruth"   "HLT"     
vector<DcsStatus>                     "hltScalersRawToDigi"       ""                "HLT"     
vector<L1CaloRegion>                  "simCaloStage2Layer1Digis"   ""                "HLT"     
vector<L1MuBMTrack>                   "simBmtfDigis"              "BMTF"            "HLT"     
vector<L1MuBMTrackSegEta>             "simBmtfDigis"              "BMTF"            "HLT"     
vector<L1MuBMTrackSegPhi>             "simBmtfDigis"              "BMTF"            "HLT"     
vector<LumiScalers>                   "hltScalersRawToDigi"       ""                "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<SimCluster>                    "mix"                       "MergedCaloTruth"   "HLT"     
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "HLT"     
vector<TrackingVertex>                "mix"                       "InitialVertices"   "HLT"     
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "HLT"     
vector<double>                        "ak4GenJets"                "rhos"            "HLT"     
vector<double>                        "ak4GenJetsNoNu"            "rhos"            "HLT"     
vector<double>                        "ak8GenJets"                "rhos"            "HLT"     
vector<double>                        "ak8GenJetsNoNu"            "rhos"            "HLT"     
vector<double>                        "ak4GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak4GenJetsNoNu"            "sigmas"          "HLT"     
vector<double>                        "ak8GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak8GenJetsNoNu"            "sigmas"          "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<l1t::EMTFHit>                  "simEmtfDigis"              ""                "HLT"     
vector<l1t::EMTFTrack>                "simEmtfDigis"              ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJetsNoNu"            ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJetsNoNu"            ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genPUProtons"              ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
vector<pair<int,bitset<6> > >         "mix"                       "AffectedAPVList"   "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
trigger::TriggerEventWithRefs         "hltTriggerSummaryRAW"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL1sZeroBias"            ""                "HLT"     
BXVector<GlobalAlgBlk>                "gtStage2Digis"             ""                "Demo"    
BXVector<GlobalExtBlk>                "gtStage2Digis"             ""                "Demo"    
BXVector<l1t::CaloSpare>              "caloStage1Digis"           "HFBitCounts"     "Demo"    
BXVector<l1t::CaloSpare>              "caloStage1FinalDigis"      "HFBitCounts"     "Demo"    
BXVector<l1t::CaloSpare>              "caloStage1Digis"           "HFRingSums"      "Demo"    
BXVector<l1t::CaloSpare>              "caloStage1FinalDigis"      "HFRingSums"      "Demo"    
BXVector<l1t::CaloTower>              "caloStage1Digis"           ""                "Demo"    
BXVector<l1t::CaloTower>              "caloStage2Digis"           "CaloTower"       "Demo"    
BXVector<l1t::EGamma>                 "caloStage1Digis"           ""                "Demo"    
BXVector<l1t::EGamma>                 "caloStage1FinalDigis"      ""                "Demo"    
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "Demo"    
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma"          "Demo"    
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma2"         "Demo"    
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma3"         "Demo"    
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma4"         "Demo"    
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma5"         "Demo"    
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma6"         "Demo"    
BXVector<l1t::EGamma>                 "caloStage2Digis"           "MP"              "Demo"    
BXVector<l1t::EtSum>                  "caloStage1Digis"           ""                "Demo"    
BXVector<l1t::EtSum>                  "caloStage1FinalDigis"      ""                "Demo"    
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "Demo"    
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum"           "Demo"    
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum2"          "Demo"    
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum3"          "Demo"    
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum4"          "Demo"    
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum5"          "Demo"    
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum6"          "Demo"    
BXVector<l1t::EtSum>                  "caloStage2Digis"           "MP"              "Demo"    
BXVector<l1t::Jet>                    "caloStage1Digis"           ""                "Demo"    
BXVector<l1t::Jet>                    "caloStage1FinalDigis"      ""                "Demo"    
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "Demo"    
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet"             "Demo"    
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet2"            "Demo"    
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet3"            "Demo"    
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet4"            "Demo"    
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet5"            "Demo"    
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet6"            "Demo"    
BXVector<l1t::Jet>                    "caloStage2Digis"           "MP"              "Demo"    
BXVector<l1t::Jet>                    "caloStage1FinalDigis"      "preGtJets"       "Demo"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "Muon"            "Demo"    
